,paperID,url,authorId,authorName
0,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,http://arxiv.org/pdf/2303.13948v1,1726114642,Ciyuan Peng
1,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,http://arxiv.org/pdf/2303.13948v1,2143633281,Feng Xia
2,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,http://arxiv.org/pdf/2303.13948v1,2149932639,Mehdi Naseriparsa
3,42b323b6df79e49c9bf5cee2a91398a7fa3d594d,http://arxiv.org/pdf/2303.13948v1,2052329,Francesco Osborne
4,af063194baee08931f12facdffc573e4bd29c463,http://arxiv.org/pdf/2401.07683v1,22247218,Marcel Gohsen
5,af063194baee08931f12facdffc573e4bd29c463,http://arxiv.org/pdf/2401.07683v1,1405867539,Benno Stein
6,f2aca403781821618d7a69d98a9fbddccb236081,http://arxiv.org/pdf/2010.08995v1,1473373066,Jinta Weng
7,f2aca403781821618d7a69d98a9fbddccb236081,http://arxiv.org/pdf/2010.08995v1,2118544312,Ying Gao
8,f2aca403781821618d7a69d98a9fbddccb236081,http://arxiv.org/pdf/2010.08995v1,50980085,Jing Qiu
9,f2aca403781821618d7a69d98a9fbddccb236081,http://arxiv.org/pdf/2010.08995v1,83411922,Guozhu Ding
10,f2aca403781821618d7a69d98a9fbddccb236081,http://arxiv.org/pdf/2010.08995v1,2115689232,Huanqin Zheng
11,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,http://arxiv.org/pdf/2307.12059v1,2118658200,Chun-Hee Lee
12,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,http://arxiv.org/pdf/2307.12059v1,1748923,Dong-oh Kang
13,9921e8a2ed1d7ddaf6fdc6491d7cea321073c0b3,http://arxiv.org/pdf/2307.12059v1,2224671162,Hwa Jeon Song
14,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,http://arxiv.org/pdf/1911.08776v2,2067824542,Siyu Yao
15,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,http://arxiv.org/pdf/1911.08776v2,2144408488,Ruijie Wang
16,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,http://arxiv.org/pdf/1911.08776v2,2109354880,Shen Sun
17,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,http://arxiv.org/pdf/1911.08776v2,1420560026,Derui Bu
18,fb08c6d5f8fe80cfbd9efa75b710f326f4846a0f,http://arxiv.org/pdf/1911.08776v2,145694057,Jun Liu
19,8ef2e6b11b519b609bfaa7ed056f621cee15d552,http://arxiv.org/pdf/2202.03173v2,2827559,Zoi Kaoudi
20,8ef2e6b11b519b609bfaa7ed056f621cee15d552,http://arxiv.org/pdf/2202.03173v2,2165227698,Abelardo Carlos Martínez Lorenzo
21,8ef2e6b11b519b609bfaa7ed056f621cee15d552,http://arxiv.org/pdf/2202.03173v2,1733290,V. Markl
22,a0fcba8e4302e506d73c7c6987c6d655fefa9f4d,http://arxiv.org/pdf/1905.11691v1,1705291,Valeria Fionda
23,a0fcba8e4302e506d73c7c6987c6d655fefa9f4d,http://arxiv.org/pdf/1905.11691v1,145750056,G. Pirrò
24,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,http://arxiv.org/pdf/1512.06900v1,2061389548,Cristóbal Esteban
25,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,http://arxiv.org/pdf/1512.06900v1,1700754,Volker Tresp
26,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,http://arxiv.org/pdf/1512.06900v1,3104845,Yinchong Yang
27,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,http://arxiv.org/pdf/1512.06900v1,31418786,S. Baier
28,56ac7e9d87200bdb3da8df52830eaa9e1ab4cc23,http://arxiv.org/pdf/1512.06900v1,2614774,Denis Krompass
29,52995bcade40d1c4f6d661a40bde60a7f8c4425c,http://arxiv.org/pdf/2105.00388v1,,Wen Zhang
30,52995bcade40d1c4f6d661a40bde60a7f8c4425c,http://arxiv.org/pdf/2105.00388v1,153371173,Chi-Man Wong
31,52995bcade40d1c4f6d661a40bde60a7f8c4425c,http://arxiv.org/pdf/2105.00388v1,2083548792,Ganqiang Ye
32,52995bcade40d1c4f6d661a40bde60a7f8c4425c,http://arxiv.org/pdf/2105.00388v1,2087056242,Bo Wen
33,52995bcade40d1c4f6d661a40bde60a7f8c4425c,http://arxiv.org/pdf/2105.00388v1,2155468731,Wei Zhang
34,52995bcade40d1c4f6d661a40bde60a7f8c4425c,http://arxiv.org/pdf/2105.00388v1,49178307,Huajun Chen
35,3721a8bc7aed12e42ed446bee791d3117f32c101,http://arxiv.org/pdf/1904.02856v1,40124153,Takuma Ebisu
36,3721a8bc7aed12e42ed446bee791d3117f32c101,http://arxiv.org/pdf/1904.02856v1,143758327,R. Ichise
37,ba6d96444b7f65066ba62e66758664f1dcb59aae,http://arxiv.org/pdf/2303.14647v1,1946130,Najmeh Torabian
38,ba6d96444b7f65066ba62e66758664f1dcb59aae,http://arxiv.org/pdf/2303.14647v1,1403320509,B. Minaei-Bidgoli
39,ba6d96444b7f65066ba62e66758664f1dcb59aae,http://arxiv.org/pdf/2303.14647v1,2041628,M. Jahanshahi
40,9ea5874d261359e287eabb735de38a8edba1e091,http://arxiv.org/pdf/2302.05019v1,1944536259,Lingfeng Zhong
41,9ea5874d261359e287eabb735de38a8edba1e091,http://arxiv.org/pdf/2302.05019v1,2144139161,Jia Wu
42,9ea5874d261359e287eabb735de38a8edba1e091,http://arxiv.org/pdf/2302.05019v1,2117126771,Qian Li
