,venueName,typeName
152,Proceedings of the IEEE,journal
153,iConference,conference
154,Proceedings of the AAAI Symposium Series,conference
155,Artificial General Intelligence,journal
156,BMC Bioinformatics,journal
157,Int. J. Inf. Manag. Data Insights,journal
158,Natural Language Processing and Chinese Computing,conference
159,Encyclopedia of Big Data Technologies,journal
160,DL4KG@ISWC,conference
161,CHI Extended Abstracts,conference
162,LASCAR@ESWC,workshop
163,Sai,journal
164,Trans. Mach. Learn. Res.,journal
165,Molecular Omics,journal
166,International Conference on Intelligent Data Science Technologies and Applications,conference
167,Nordic Conference of Computational Linguistics,conference
168,International Conferences on Artificial Intelligence and Computer Vision,conference
169,OTM Conferences,conference
170,International Conference on Database and Expert Systems Applications,conference
171,Journal of Artificial Intelligence Research,journal
172,International Conference on Natural Language and Speech Processing,conference
173,Data & Knowledge Engineering,journal
174,Research Challenges in Information Science,conference
175,CAPNS@QI,conference
176,Information Processing Letters,journal
177,International Conference on Mathematics and Computing,conference
178,NLPOSS,workshop
179,Computational Linguistics,journal
180,IEEE International Conference on Fuzzy Systems,conference
181,Learning for Natural Language Processing,journal
182,WINLP,conference
183,Controlled Natural Language,conference
184,Multimedia tools and applications,journal
185,JEP/TALN/RECITAL,conference
186,Conference on Theory and Practice of Information Technologies,conference
187,Physics of Life Reviews,journal
188,Drug Discovery Today,journal
189,JSAI-isAI Workshops,workshop
190,Social Science Research Network,journal
191,Symposium on Symbolic and Numeric Algorithms for Scientific Computing,conference
192,Workshop on Spoken Language Technologies for Under-resourced Languages,workshop
193,AfricaNLP,workshop
194,BlackboxNLP@ACL,workshop
195,ICON,journal
196,International Conference on Agents and Artificial Intelligence,conference
197,2023 IEEE 8th International Conference for Convergence in Technology (I2CT),conference
198,International Journal on Natural Language Computing,journal
199,Information Processing & Management,journal
200,International Conference on Intelligent and Adaptive Systems and Software Engineering,conference
201,International Workshop/Conference on Parsing Technologies,conference
202,Pattern Recognition and Machine Intelligence,journal
203,DECLARE,conference
204,2020 1st International Conference on Big Data Analytics and Practices (IBDAP),conference
205,RAIL,journal
206,2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),conference
207,IEEE International Conference on Formal Engineering Methods,conference
208,JEPTALNRECITAL,conference
209,2017 Pattern Recognition Association of South Africa and Robotics and Mechatronics (PRASA-RobMech),conference
210,PRIVATENLP,workshop
211,HCINLP,journal
212,LORESMT,conference
213,International Workshop on Semantic Evaluation,workshop
214,ACT,journal
215,Finite-State Methods and Natural Language Processing,workshop
216,International Conference on Principles of Knowledge Representation and Reasoning,conference
217,International Conference on Natural Language Processing and Information Retrieval,conference
218,Theory and Practice of Logic Programming,journal
219,HUMEVAL,workshop
220,International Conference on Software Engineering and Knowledge Engineering,conference
221,International Conference on Machine Learning and Applications,conference
222,Computer Science,journal
223,Workshop on Balto-Slavic Natural Language Processing,workshop
224,ALTNLP,conference
225,BANGLALP,workshop
226,BlackboxNLP Workshop on Analyzing and Interpreting Neural Networks for NLP,workshop
227,International Conference on Software Engineering,conference
228,China National Conference on Chinese Computational Linguistics,conference
229,2019 Artificial Intelligence for Transforming Business and Society (AITB),conference
230,Applied Natural Language Processing Conference,conference
231,Visual ..,journal
232,Clinical Natural Language Processing Workshop,workshop
233,Fire,journal
234,TRUSTNLP,conference
235,BigData Congress [Services Society],conference
236,Lecture Notes in Electrical Engineering,journal
237,Recent Advances in Natural Language Processing,conference
238,Language Resources and Evaluation,conference
239,Applied Sciences,journal
240,AAAI Spring Symposia,conference
241,International Conference on Computational Processing of the Portuguese Language,conference
242,Natural Computing,journal
243,International Conference on Advances in ICT for Emerging Regions,conference
244,Rep4NLP@ACL,workshop
245,Multilingual Facilitation,journal
246,Pattern Recognition Letters,journal
247,IFIP TC13 International Conference on Human-Computer Interaction,conference
248,Conference on Computational Natural Language Learning,conference
249,Romanian Conference on Human-Computer Interaction,conference
250,Interspeech,conference
251,Nature Machine Intelligence,journal
252,Computational Linguistics and Intellectual Technologies,conference
253,IEEE International Geoscience and Remote Sensing Symposium,conference
254,International Journal for Research in Applied Science and Engineering Technology,journal
255,2023 9th International Conference on Web Research (ICWR),conference
256,The VLDB journal,journal
257,xxAI@ICML,conference
258,E2ECOMPVEC@ESSLLI,workshop
259,ACM Transactions on Interactive Intelligent Systems,journal
260,International Journal of Prognostics and Health Management,journal
261,Transactions of the Association for Computational Linguistics,journal
262,SLTAT,conference
263,SUSTAINLP,workshop
264,APSIPA Transactions on Signal and Information Processing,journal
265,Deutsche Jahrestagung für Künstliche Intelligenz,conference
266,FESCA@ETAPS,workshop
267,Computers in industry (Print),journal
268,Frontiers in Artificial Intelligence,journal
269,IEEE Robotics and Automation Letters,journal
270,International Joint Conference on Computational Intelligence,conference
271,EthNLP@EACL,conference
272,Journal of New Music Research,journal
273,IEEE Transactions on Human-Machine Systems,journal
274,Artificial Life,conference
275,IEEE Vehicular Technology Magazine,journal
276,Algorithms,journal
277,iScience,journal
278,The international journal of intelligence and counter intelligence,journal
279,Mexican International Conference on Artificial Intelligence,conference
280,Biotechnology,journal
281,SIGAI,journal
282,Communications of the ACM,journal
283,Applied Artificial Intelligence,journal
284,ARES,conference
285,Front. Neurorobot.,journal
286,Int. J. Comput. Games Technol.,journal
287,SafeAI@AAAI,workshop
288,Swiss Conference on Data Science,conference
289,Futures,journal
290,ACM Journal on Computing and Cultural Heritage,journal
