61,fff48be5e6ef0cab7e45198a768fc62b9e626be2,Journal of Web Semantics;;;
62,aeab41199894a0828f4d1cfbdb2089cc1a0449b7,arXiv.org;;;
63,1676422146e7141974a3024c0dcc52e8b3f838e8,arXiv.org;;;
64,ccbbdb060c4f513600098c60357a1bd781fdf48c,arXiv.org;;;
65,793ee43acf3b0fad950125f3f56810e15f73cea7,arXiv.org;;;
66,f9a7b62877f25316d64c234e95955c0d7d7b0785,arXiv.org;;;
67,d47a322beb3fecd50f5b22c9319221b02e155425,arXiv.org;;;
68,f500a89036f43473001459db4c2d2274154146ce,arXiv.org;;;
69,326e25f9b889745bce49587130a20d46f96076eb,International Conference on Asian Digital Libraries;;;
70,433d704797c2d6a9b3ae67ab94240e1d4aa2b060,Knowledge Discovery and Data Mining;;;
71,eef59a967f7248cd8da06ef55a23ce426904cb8b,IJCKG;;;
72,594fbd15851e1c4470a09c6dd032cc005706f707,Softw. Impacts;;;
73,d7d8323bb80aacbcff7253d057aba359beb418f0,arXiv.org;;;
74,347172d699e9da6d7b6aa4c69ec85f001a659879,arXiv.org;;;
75,bbd5db3b21eb9de3c0a13a43e125746be1079912,Workshop on Biomedical Natural Language Processing;;;
76,37bf0bf34603145246c3311df19e2afdf6e0270a,AAAI Conference on Artificial Intelligence;;;
77,7fcb917cd4b6d0c77c41b4a1b1dc0c4d1965ba7b,The Web Conference;;;
78,f61fde0b364f355224a2275f8f60bcac4d2344ba,International Conference on Data Science and Advanced Analytics;;;
79,b9819f96f915cf8a71e017386dbf508ca6ebfaf5,China Conference on Knowledge Graph and Semantic Computing;;;
80,e0ca83f36b06511e80e9d9672ce0acea7eee7923,International Conference on Computational Linguistics;;;
81,6a4717480671318c55a4ea21844f77e1567ecb0c,arXiv.org;;;
82,0e650e3df99fc8e8c129b81bfe51f58a98c31a6a,SumPre-HSWI@ESWC;;;
83,354fbd86ee53a0b3f9dd7155b871de6ee634f78d,Annual Meeting of the Association for Computational Linguistics;;;
84,0f6054ff2f32f5ecf9ff4d2dc129d9e1af4707c2,arXiv.org;;;
85,2efda362405749009a715a5213ebfbbc7e1c18ef,arXiv.org;;;
86,467b189d982c2d3e002f27207bf28a545394a27a,arXiv.org;;;
87,9206747395d297971c54a8b678a0e3dec8ab8101,arXiv.org;;;
88,6fce45adb2c8aab6569455eb41112dc25a07b01e,CCGPK;;;
89,495cb4939f8e974a55028d8b27d653a25be5320b,Iberoamerican Conference on Knowledge Graphs and Semantic Web;;;
